time,switch_id,src_ip,dst_ip,proto,in_port,pkt_rate,byte_rate,avg_pkt_size,duration,pair_flow,port_src_count,label
716.28,1,172.16.207.155,10.0.0.100,17,5,1687.12,104473.75,61.9,1.23,0,152,1
3.56,3,10.0.0.1,10.0.0.100,6,3,109.6,78634.69,717.5,25.86,1,3,0
367.45,2,10.0.0.2,10.0.0.100,17,3,10.13,11908.12,1175.4,12.92,1,2,0
767.74,2,192.168.206.187,10.0.0.100,6,4,1520.82,97570.81,64.2,4.56,0,424,1
395.46,1,10.0.0.2,10.0.0.100,6,2,16.73,3693.85,220.9,26.17,1,2,0
693.41,2,172.16.222.234,10.0.0.100,17,4,1013.24,216906.24,214.1,5.7,0,3,1
385.26,3,10.0.0.1,10.0.0.100,6,2,23.73,16874.69,711.1,6.92,1,3,0
59.43,1,10.0.0.2,10.0.0.100,6,3,81.2,88194.3,1086.1,15.22,0,1,0
666.59,3,10.0.0.1,10.0.0.100,6,2,31.76,43425.57,1367.3,10.72,1,2,0
690.47,2,172.16.77.42,10.0.0.100,17,5,1716.91,364660.89,212.4,5.04,0,2,1
561.42,2,10.0.0.2,10.0.0.100,17,2,254.16,228080.75,897.4,9.79,1,3,0
720.45,1,172.16.106.169,10.0.0.100,17,4,2477.04,1038463.92,419.2,1.1,0,154,1
229.78,3,10.0.0.3,10.0.0.100,6,2,24.23,5851.57,241.5,19.77,0,3,0
128.18,1,10.0.0.2,10.0.0.100,17,2,72.49,95695.28,1320.2,27.09,1,3,0
44.87,1,10.0.0.2,10.0.0.100,17,1,6.68,1506.14,225.6,29.75,1,30,0
544.88,2,10.0.0.2,10.0.0.100,17,2,35.56,2961.95,83.3,22.73,1,2,0
327.2,3,10.0.0.1,10.0.0.100,17,2,50.92,73734.35,1448.1,13.04,1,2,0
706.49,2,172.16.137.92,10.0.0.100,17,5,845.29,151167.54,178.8,7.28,0,3,1
761.47,3,192.168.208.109,10.0.0.100,6,5,1621.23,133993.46,82.6,2.73,0,231,1
484.97,2,10.0.0.3,10.0.0.100,17,2,88.41,92845.57,1050.2,6.46,1,2,0
714.89,3,172.16.71.151,10.0.0.100,17,5,2553.53,616964.57,241.6,6.04,0,3,1
747.57,2,192.168.242.228,10.0.0.100,6,5,2193.15,249512.74,113.8,1.76,0,144,1
532.91,2,10.0.0.3,10.0.0.100,17,3,99.03,95531.89,964.7,24.71,1,3,0
729.65,1,192.168.198.60,10.0.0.100,6,5,1910.3,110462.48,57.8,2.41,0,430,1
717.58,1,172.16.152.179,10.0.0.100,17,4,458.79,222158.18,484.2,0.72,0,3,1
195.43,2,10.0.0.2,10.0.0.100,6,2,39.98,22011.59,550.5,3.39,1,2,0
66.18,3,10.0.0.3,10.0.0.100,6,2,98.6,133570.0,1354.7,24.17,1,3,0
712.62,1,172.16.165.80,10.0.0.100,17,5,2607.15,164050.38,62.9,4.9,0,158,1
83.66,2,10.0.0.3,10.0.0.100,17,3,54.78,40981.89,748.1,3.64,1,1,0
329.71,2,10.0.0.3,10.0.0.100,17,2,5.82,1509.02,259.5,23.64,1,3,0
696.33,2,172.16.185.84,10.0.0.100,17,5,1313.86,676510.6,514.9,7.36,0,1,1
762.6,3,192.168.34.16,10.0.0.100,6,5,1440.48,170208.78,118.2,1.43,0,105,1
694.78,3,172.16.16.42,10.0.0.100,17,4,2998.5,1511291.44,504.0,5.19,0,3,1
198.36,2,10.0.0.3,10.0.0.100,6,1,30.94,7854.91,253.9,20.72,1,23,0
650.45,1,10.0.0.2,10.0.0.100,17,3,22.38,3245.12,145.0,25.75,1,1,0
462.36,1,10.0.0.3,10.0.0.100,17,1,14.97,1816.65,121.3,3.48,1,16,0
516.78,2,10.0.0.2,10.0.0.100,17,3,109.19,107439.66,984.0,16.85,0,2,0
705.58,3,172.16.157.22,10.0.0.100,17,4,1255.05,622810.88,496.2,4.19,0,92,1
19.72,3,10.0.0.1,10.0.0.100,6,3,43.24,58977.08,1363.9,12.54,1,2,0
511.09,2,10.0.0.1,10.0.0.100,6,3,69.87,41184.34,589.4,19.64,1,2,0
46.18,3,10.0.0.2,10.0.0.100,6,3,52.86,34176.3,646.6,11.14,1,2,0
331.93,2,10.0.0.2,10.0.0.100,17,1,28.98,14809.21,511.0,24.45,1,35,0
276.75,3,10.0.0.3,10.0.0.100,17,2,48.73,5066.8,104.0,24.84,1,1,0
445.75,2,10.0.0.3,10.0.0.100,17,3,39.45,7061.64,179.0,6.66,1,3,0
737.33,2,192.168.170.159,10.0.0.100,6,4,627.26,73540.9,117.2,0.82,0,191,1
748.39,2,192.168.42.216,10.0.0.100,6,5,1783.99,247299.94,138.6,4.96,0,307,1
700.39,2,172.16.98.114,10.0.0.100,17,4,949.3,277908.64,292.8,6.68,0,251,1
758.73,3,192.168.215.84,10.0.0.100,6,5,1701.01,99662.58,58.6,4.27,0,379,1
26.0,1,10.0.0.1,10.0.0.100,6,3,37.72,32711.74,867.2,25.62,0,1,0
758.39,3,192.168.80.222,10.0.0.100,6,4,2387.13,204031.82,85.5,5.33,0,297,1
504.8,2,10.0.0.3,10.0.0.100,17,2,248.44,159156.37,640.6,1.25,1,1,0
338.52,3,10.0.0.2,10.0.0.100,17,2,13.83,1284.75,92.9,7.91,1,2,0
700.61,3,172.16.185.198,10.0.0.100,17,4,449.08,28782.3,64.1,5.44,0,74,1
729.14,3,192.168.161.135,10.0.0.100,6,4,1811.41,179825.84,99.3,2.99,0,174,1
578.91,1,10.0.0.1,10.0.0.100,17,3,41.08,40091.35,976.0,7.47,1,3,0
718.26,1,172.16.25.57,10.0.0.100,17,5,804.22,258034.8,320.8,5.54,0,114,1
596.63,1,10.0.0.2,10.0.0.100,6,2,81.34,65722.05,808.0,20.81,1,3,0
690.1,2,172.16.223.168,10.0.0.100,17,4,2326.27,1157467.08,497.6,3.07,0,335,1
506.43,3,10.0.0.2,10.0.0.100,6,2,215.24,203788.88,946.8,28.67,0,3,0
693.98,3,172.16.226.19,10.0.0.100,17,5,2945.62,180004.09,61.1,2.38,0,87,1
732.34,1,192.168.153.238,10.0.0.100,6,4,273.23,29980.36,109.7,1.98,0,381,1
743.91,2,192.168.31.158,10.0.0.100,6,5,1654.19,172103.34,104.0,0.72,0,3,1
191.07,2,10.0.0.3,10.0.0.100,6,1,109.91,87700.42,797.9,24.35,1,16,0
146.27,1,10.0.0.1,10.0.0.100,6,3,47.4,65744.58,1387.2,5.82,1,2,0
761.24,1,192.168.46.203,10.0.0.100,6,4,406.34,44822.23,110.3,1.61,0,211,1
770.81,1,192.168.78.177,10.0.0.100,6,5,2315.31,149143.34,64.4,0.32,0,193,1
733.78,3,192.168.53.5,10.0.0.100,6,5,1785.76,247732.63,138.7,4.2,0,92,1
745.3,1,192.168.96.146,10.0.0.100,6,4,1422.03,88043.46,61.9,2.42,1,233,1
674.37,2,172.16.49.131,10.0.0.100,17,4,930.52,404284.21,434.5,7.4,0,330,1
565.8,2,10.0.0.1,10.0.0.100,6,2,13.17,2331.58,177.1,8.11,1,3,0
693.85,3,172.16.128.151,10.0.0.100,17,5,1478.52,736269.28,498.0,0.88,0,2,1
683.14,2,172.16.99.63,10.0.0.100,17,5,2832.46,991796.36,350.2,0.74,0,2,1
402.9,3,10.0.0.2,10.0.0.100,17,3,54.96,73635.1,1339.7,16.6,1,3,0
174.26,3,10.0.0.2,10.0.0.100,17,2,4.33,424.44,97.9,12.14,1,1,0
311.11,3,10.0.0.3,10.0.0.100,6,3,235.67,135743.91,576.0,13.7,0,2,0
621.54,1,10.0.0.1,10.0.0.100,17,2,49.33,10760.46,218.1,10.55,1,3,0
705.55,1,172.16.130.236,10.0.0.100,17,5,1355.5,117439.22,86.6,3.09,0,62,1
180.39,1,10.0.0.2,10.0.0.100,6,3,78.72,90752.56,1152.8,8.97,1,2,0
346.09,2,10.0.0.3,10.0.0.100,17,3,18.15,4092.0,225.5,26.0,0,3,0
593.63,2,10.0.0.2,10.0.0.100,17,2,105.71,87697.71,829.6,22.82,0,2,0
752.85,3,192.168.221.185,10.0.0.100,6,5,2223.79,211068.17,94.9,0.65,0,1,1
114.95,3,10.0.0.3,10.0.0.100,17,2,502.16,415384.52,827.2,10.76,1,1,0
696.66,1,172.16.200.113,10.0.0.100,17,5,1978.67,267252.8,135.1,6.47,0,305,1
738.53,1,192.168.220.29,10.0.0.100,6,4,1721.08,110871.27,64.4,1.04,0,263,1
710.26,1,172.16.185.32,10.0.0.100,17,4,1770.36,492217.01,278.0,6.16,0,1,1
716.67,1,172.16.30.95,10.0.0.100,17,5,1243.3,364355.63,293.1,3.87,0,32,1
686.32,2,172.16.137.90,10.0.0.100,17,5,1590.15,547517.47,344.3,6.47,0,169,1
701.45,2,172.16.32.10,10.0.0.100,17,5,2697.52,777838.58,288.4,5.32,0,3,1
296.16,1,10.0.0.2,10.0.0.100,6,3,44.77,4091.89,91.4,22.11,1,1,0
734.07,2,192.168.173.58,10.0.0.100,6,5,1685.69,180978.18,107.4,5.11,0,2,1
576.01,3,10.0.0.1,10.0.0.100,6,2,97.78,137004.56,1401.2,3.72,1,1,0
343.32,3,10.0.0.3,10.0.0.100,6,2,18.12,13685.56,755.2,27.2,1,1,0
747.06,1,192.168.95.140,10.0.0.100,6,5,574.69,64439.08,112.1,5.45,0,441,1
730.19,1,192.168.240.215,10.0.0.100,6,4,1118.38,126776.67,113.4,3.53,0,418,1
577.58,2,10.0.0.3,10.0.0.100,6,3,22.0,31769.89,1443.8,12.03,0,1,0
139.04,3,10.0.0.2,10.0.0.100,17,2,84.65,91503.67,1080.9,24.59,1,3,0
245.02,3,10.0.0.3,10.0.0.100,6,2,53.86,28835.28,535.4,24.25,1,1,0
730.55,2,192.168.140.105,10.0.0.100,6,5,2364.26,330471.62,139.8,1.27,0,376,1
766.39,1,192.168.142.26,10.0.0.100,6,5,2049.27,257237.02,125.5,2.04,0,2,1
688.62,3,172.16.16.142,10.0.0.100,17,5,1099.83,317002.17,288.2,2.18,0,239,1
77.61,1,10.0.0.1,10.0.0.100,17,2,7.7,565.43,73.5,21.9,1,1,0
557.05,3,10.0.0.1,10.0.0.100,6,3,46.44,38489.63,828.8,23.83,1,2,0
693.97,3,172.16.133.232,10.0.0.100,17,5,1436.71,307854.74,214.3,1.46,0,3,1
68.34,2,10.0.0.2,10.0.0.100,17,1,31.19,2512.38,80.5,9.53,1,23,0
734.54,1,192.168.11.123,10.0.0.100,6,4,1478.55,193294.92,130.7,5.22,0,469,1
487.31,3,10.0.0.3,10.0.0.100,17,2,446.39,244978.87,548.8,25.54,1,2,0
663.55,1,10.0.0.2,10.0.0.100,6,1,56.18,9473.06,168.6,29.2,1,21,0
678.4,1,172.16.126.169,10.0.0.100,17,4,1152.49,582796.78,505.7,7.66,0,187,1
249.71,3,10.0.0.3,10.0.0.100,6,1,5.53,1304.84,235.9,16.94,1,5,0
22.06,2,10.0.0.1,10.0.0.100,17,3,26.79,22921.39,855.6,27.73,1,1,0
247.4,3,10.0.0.2,10.0.0.100,17,3,109.26,114358.28,1046.7,11.92,1,2,0
592.1,1,10.0.0.2,10.0.0.100,17,1,93.41,90036.32,963.9,1.9,1,24,0
730.42,1,192.168.147.62,10.0.0.100,6,4,2338.75,186219.48,79.6,1.04,0,103,1
590.09,3,10.0.0.3,10.0.0.100,17,3,2.29,276.55,121.0,5.65,1,1,0
759.64,3,192.168.151.70,10.0.0.100,6,5,463.26,51696.89,111.6,5.09,0,1,1
686.49,1,172.16.154.251,10.0.0.100,17,4,1253.22,314939.02,251.3,3.51,0,180,1
678.25,1,172.16.165.88,10.0.0.100,17,5,1647.85,605666.11,367.5,3.38,0,3,1
725.89,2,192.168.37.4,10.0.0.100,6,5,967.8,129841.44,134.2,3.01,0,242,1
679.37,2,172.16.147.208,10.0.0.100,17,5,2287.35,1160416.76,507.3,5.26,0,92,1
376.27,3,10.0.0.2,10.0.0.100,6,3,35.22,6720.22,190.8,27.86,1,1,0
55.2,1,10.0.0.3,10.0.0.100,17,3,47.78,3444.56,72.1,15.45,1,2,0
238.53,1,10.0.0.1,10.0.0.100,17,2,15.35,1888.59,123.1,6.66,1,2,0
163.21,3,10.0.0.3,10.0.0.100,6,2,94.81,48514.66,511.7,19.51,0,3,0
742.09,3,192.168.64.157,10.0.0.100,6,4,1630.83,210649.9,129.2,2.1,0,416,1
302.89,1,10.0.0.1,10.0.0.100,17,3,110.99,156324.44,1408.4,18.55,1,2,0
35.58,3,10.0.0.2,10.0.0.100,17,2,87.96,88464.77,1005.7,9.34,1,3,0
749.08,3,192.168.69.200,10.0.0.100,6,4,617.09,39696.88,64.3,4.94,0,140,1
767.92,1,192.168.164.50,10.0.0.100,6,5,1443.56,100158.34,69.4,5.54,0,359,1
415.01,1,10.0.0.1,10.0.0.100,17,1,27.26,18117.0,664.7,28.73,1,15,0
644.94,1,10.0.0.1,10.0.0.100,6,2,87.84,105131.93,1196.9,28.24,1,1,0
217.17,3,10.0.0.3,10.0.0.100,17,3,56.77,70704.93,1245.5,22.43,1,1,0
675.95,1,172.16.232.57,10.0.0.100,17,4,1229.26,76188.18,62.0,4.67,0,3,1
124.79,3,10.0.0.2,10.0.0.100,6,2,8.22,1601.41,194.7,25.12,0,3,0
714.35,1,172.16.182.228,10.0.0.100,17,5,721.71,218704.83,303.0,2.67,0,3,1
620.66,2,10.0.0.1,10.0.0.100,6,3,48.36,48171.84,996.0,5.06,1,2,0
660.36,2,10.0.0.2,10.0.0.100,17,2,45.57,37255.71,817.6,12.78,1,1,0
98.58,3,10.0.0.1,10.0.0.100,17,2,56.39,12166.98,215.7,21.04,1,2,0
347.23,2,10.0.0.2,10.0.0.100,6,2,8.7,1344.1,154.4,25.17,1,3,0
745.6,3,192.168.133.83,10.0.0.100,6,4,1632.92,96263.49,59.0,0.61,0,322,1
231.26,3,10.0.0.2,10.0.0.100,6,3,50.04,11125.93,222.3,21.89,1,3,0
517.04,3,10.0.0.3,10.0.0.100,17,3,18.55,2000.74,107.9,15.32,1,1,0
732.23,2,192.168.5.162,10.0.0.100,6,5,805.46,45972.17,57.1,0.81,0,482,1
454.91,3,10.0.0.3,10.0.0.100,6,3,36.69,50454.15,1375.3,9.83,1,3,0
714.27,2,172.16.25.37,10.0.0.100,17,4,1944.72,495105.13,254.6,1.03,0,2,1
711.86,1,172.16.170.202,10.0.0.100,17,5,2661.35,803481.22,301.9,4.12,0,360,1
299.22,3,10.0.0.2,10.0.0.100,17,2,67.44,52122.72,772.8,23.16,1,2,0
742.32,2,192.168.52.205,10.0.0.100,6,5,507.86,58160.35,114.5,4.3,0,450,1
423.14,1,10.0.0.2,10.0.0.100,17,2,19.67,2861.95,145.5,25.47,1,2,0
189.13,2,10.0.0.1,10.0.0.100,17,3,13.17,3355.47,254.7,19.51,1,3,0
300.88,1,10.0.0.2,10.0.0.100,6,3,24.36,29681.75,1218.7,21.81,1,1,0
555.58,2,10.0.0.1,10.0.0.100,17,1,34.29,4803.03,140.1,22.88,1,7,0
733.73,2,192.168.204.184,10.0.0.100,6,4,310.35,22720.71,73.2,3.62,0,3,1
769.99,2,192.168.212.205,10.0.0.100,6,5,1585.73,145375.29,91.7,0.8,0,205,1
465.48,3,10.0.0.1,10.0.0.100,17,1,47.33,6566.59,138.7,19.85,1,20,0
254.02,1,10.0.0.3,10.0.0.100,6,2,10.38,5246.33,505.6,2.22,1,1,0
770.17,2,192.168.251.163,10.0.0.100,6,4,637.93,44731.85,70.1,4.86,0,424,1
309.05,3,10.0.0.1,10.0.0.100,6,1,79.28,45675.92,576.1,2.66,1,31,0
484.24,3,10.0.0.3,10.0.0.100,6,2,14.6,2379.95,163.0,9.65,1,1,0
348.94,2,10.0.0.2,10.0.0.100,17,1,76.01,86102.17,1132.8,26.74,1,11,0
57.55,2,10.0.0.2,10.0.0.100,6,2,73.88,89437.84,1210.5,15.41,1,3,0
80.56,2,10.0.0.1,10.0.0.100,17,3,101.34,67090.97,662.0,18.22,1,1,0
769.44,1,192.168.174.168,10.0.0.100,6,4,411.71,25064.31,60.9,1.0,0,383,1
196.3,3,10.0.0.1,10.0.0.100,6,2,47.57,4811.5,101.1,10.76,1,3,0
737.66,2,192.168.8.222,10.0.0.100,6,5,2494.38,251991.92,101.0,5.18,0,353,1
498.27,2,10.0.0.2,10.0.0.100,6,2,44.04,9667.38,219.5,3.47,1,3,0
63.45,1,10.0.0.3,10.0.0.100,17,3,45.99,8166.49,177.6,28.22,0,1,0
671.36,2,10.0.0.1,10.0.0.100,17,3,94.39,101085.56,1070.9,17.71,1,2,0
711.91,3,172.16.61.216,10.0.0.100,17,5,1987.29,521106.1,262.2,5.8,0,87,1
697.97,2,172.16.47.113,10.0.0.100,17,5,1823.39,739372.77,405.5,7.51,0,252,1
323.03,3,10.0.0.1,10.0.0.100,17,2,97.86,134854.3,1378.1,27.72,1,1,0
39.07,2,10.0.0.2,10.0.0.100,17,2,475.3,238573.42,501.9,0.84,1,1,0
712.28,1,172.16.160.254,10.0.0.100,17,5,2226.2,617106.85,277.2,2.39,0,33,1
284.9,1,10.0.0.1,10.0.0.100,6,2,83.29,108671.53,1304.8,6.71,1,1,0
636.36,2,10.0.0.3,10.0.0.100,17,3,8.39,1852.87,220.8,26.28,1,3,0
89.92,2,10.0.0.3,10.0.0.100,6,2,23.42,30132.34,1286.8,23.16,1,2,0
480.63,2,10.0.0.1,10.0.0.100,6,2,9.52,1357.74,142.7,17.24,1,2,0
488.64,3,10.0.0.3,10.0.0.100,6,1,113.92,65898.29,578.5,1.6,1,30,0
625.98,1,10.0.0.3,10.0.0.100,6,2,38.12,3941.39,103.4,17.19,1,1,0
655.31,1,10.0.0.1,10.0.0.100,6,1,40.62,22932.59,564.6,17.37,1,34,0
756.31,2,192.168.33.46,10.0.0.100,6,4,2120.36,219603.66,103.6,3.6,0,145,1
260.5,2,10.0.0.2,10.0.0.100,17,3,35.09,42381.68,1207.7,5.53,1,2,0
701.1,2,172.16.113.129,10.0.0.100,17,5,2498.96,331009.93,132.5,3.56,0,350,1
335.78,3,10.0.0.2,10.0.0.100,17,3,77.91,88044.39,1130.0,27.5,1,3,0
90.35,3,10.0.0.1,10.0.0.100,17,2,80.24,59427.45,740.6,6.36,0,1,0
735.5,2,192.168.5.18,10.0.0.100,6,5,2215.53,252690.33,114.1,3.74,0,362,1
633.16,3,10.0.0.1,10.0.0.100,17,2,65.92,54274.97,823.3,20.79,1,2,0
764.99,1,192.168.173.14,10.0.0.100,6,5,976.5,52840.04,54.1,2.84,0,298,1
290.07,1,10.0.0.2,10.0.0.100,6,3,599.28,518272.73,864.8,21.03,1,2,0
36.16,1,10.0.0.1,10.0.0.100,6,2,95.21,112831.69,1185.1,11.72,1,3,0
713.98,1,172.16.123.113,10.0.0.100,17,5,2364.74,801478.27,338.9,0.7,0,40,1
720.51,3,172.16.7.121,10.0.0.100,17,4,1683.04,413497.77,245.7,1.49,0,249,1
718.17,2,172.16.67.84,10.0.0.100,17,4,2891.63,655569.41,226.7,1.16,0,95,1
196.52,3,10.0.0.2,10.0.0.100,17,2,103.78,124760.14,1202.1,20.79,1,1,0
251.58,3,10.0.0.3,10.0.0.100,6,3,24.32,6162.65,253.4,10.88,1,3,0
495.58,3,10.0.0.2,10.0.0.100,6,3,18.07,3404.62,188.4,12.04,1,2,0
233.86,1,10.0.0.3,10.0.0.100,17,2,13.39,2501.5,186.8,3.93,1,3,0
319.61,1,10.0.0.1,10.0.0.100,6,3,12.66,11905.24,940.0,5.37,1,1,0
349.02,3,10.0.0.1,10.0.0.100,6,1,19.11,2401.76,125.7,28.3,1,16,0
250.1,2,10.0.0.1,10.0.0.100,17,3,33.18,2248.12,67.8,28.76,0,2,0
584.36,3,10.0.0.1,10.0.0.100,6,1,44.99,34144.53,759.0,14.31,1,32,0
371.66,1,10.0.0.1,10.0.0.100,6,2,97.25,62791.52,645.7,0.77,1,3,0
702.73,1,172.16.15.17,10.0.0.100,17,4,1542.85,362745.11,235.1,7.65,0,1,1
705.48,3,172.16.117.199,10.0.0.100,17,4,2664.76,1163265.78,436.5,6.72,0,39,1
767.91,2,192.168.222.40,10.0.0.100,6,4,294.9,38942.09,132.0,4.42,0,263,1
726.13,2,192.168.15.26,10.0.0.100,6,5,1867.83,257346.33,137.8,3.97,0,377,1
490.87,2,10.0.0.1,10.0.0.100,6,2,110.05,143373.7,1302.8,11.75,1,1,0
399.4,1,10.0.0.1,10.0.0.100,6,2,50.79,9108.42,179.3,17.89,1,2,0
305.6,2,10.0.0.3,10.0.0.100,6,3,91.03,124449.3,1367.1,16.09,1,3,0
688.79,1,172.16.71.64,10.0.0.100,17,5,1483.32,515355.74,347.4,6.62,1,281,1
514.66,3,10.0.0.2,10.0.0.100,17,2,29.57,22212.59,751.1,17.05,1,3,0
685.59,1,172.16.192.65,10.0.0.100,17,4,2050.77,420109.23,204.9,6.05,1,33,1
626.36,3,10.0.0.1,10.0.0.100,17,3,44.18,28411.35,643.1,29.22,1,3,0
394.02,1,10.0.0.1,10.0.0.100,6,3,5.84,1236.66,211.6,2.17,1,3,0
701.32,3,172.16.74.223,10.0.0.100,17,5,2816.03,1411481.94,501.2,1.11,0,397,1
12.85,1,10.0.0.2,10.0.0.100,17,3,23.89,27774.1,1162.5,26.12,1,3,0
661.56,2,10.0.0.1,10.0.0.100,17,1,51.05,30323.46,594.0,14.47,1,26,0
291.35,1,10.0.0.1,10.0.0.100,6,2,42.64,10388.61,243.6,3.56,1,3,0
32.95,3,10.0.0.3,10.0.0.100,6,3,6.71,1562.01,232.8,28.48,1,1,0
765.3,3,192.168.51.199,10.0.0.100,6,4,1301.38,162395.28,124.8,1.19,0,57,1
122.52,3,10.0.0.1,10.0.0.100,17,2,108.2,121300.41,1121.1,12.81,1,1,0
768.57,3,192.168.35.104,10.0.0.100,6,4,2087.19,170938.59,81.9,3.3,0,112,1
100.29,1,10.0.0.3,10.0.0.100,17,1,86.07,92997.89,1080.5,18.05,1,34,0
493.02,2,10.0.0.1,10.0.0.100,17,3,86.02,85076.91,989.0,0.83,1,3,0
508.58,1,10.0.0.3,10.0.0.100,17,3,5.26,949.75,180.4,14.55,1,2,0
594.62,2,10.0.0.3,10.0.0.100,17,3,47.76,68638.76,1437.2,18.46,1,3,0
456.06,1,10.0.0.3,10.0.0.100,6,2,22.52,32452.34,1441.0,19.02,1,3,0
56.07,1,10.0.0.1,10.0.0.100,6,2,50.45,52389.92,1038.5,8.03,1,3,0
674.94,2,172.16.242.127,10.0.0.100,17,5,2422.31,473701.93,195.6,1.31,0,288,1
494.55,1,10.0.0.2,10.0.0.100,6,1,21.18,10954.76,517.1,26.38,1,37,0
599.61,3,10.0.0.3,10.0.0.100,6,2,110.24,158856.03,1441.0,3.01,1,3,0
472.45,2,10.0.0.1,10.0.0.100,17,2,56.73,14378.31,253.4,27.87,1,3,0
605.72,1,10.0.0.1,10.0.0.100,6,3,38.45,8582.85,223.2,17.08,1,2,0
531.46,1,10.0.0.2,10.0.0.100,17,1,28.9,3814.62,132.0,4.19,1,12,0
123.16,2,10.0.0.3,10.0.0.100,17,1,66.53,92437.0,1389.5,23.11,1,15,0
665.75,2,10.0.0.1,10.0.0.100,17,2,14.37,17254.83,1200.7,5.83,1,2,0
668.1,1,10.0.0.1,10.0.0.100,17,2,73.95,59255.53,801.3,7.7,1,1,0
489.77,1,10.0.0.1,10.0.0.100,6,3,119.44,70116.2,587.0,15.1,1,2,0
270.84,2,10.0.0.2,10.0.0.100,17,3,62.63,66398.96,1060.2,18.64,1,1,0
475.56,2,10.0.0.1,10.0.0.100,6,3,57.49,6689.16,116.4,27.88,1,3,0
298.66,1,10.0.0.3,10.0.0.100,6,1,58.29,73740.03,1265.1,26.88,1,45,0
52.81,2,10.0.0.2,10.0.0.100,17,3,103.51,120324.52,1162.4,23.97,1,1,0
696.72,1,172.16.93.178,10.0.0.100,17,5,1070.05,355954.93,332.7,5.8,1,58,1
401.93,1,10.0.0.3,10.0.0.100,17,2,68.56,51505.9,751.3,11.54,1,2,0
426.23,3,10.0.0.2,10.0.0.100,17,2,119.47,68826.09,576.1,24.58,0,3,0
610.01,3,10.0.0.2,10.0.0.100,6,1,92.42,119254.49,1290.4,25.36,1,20,0
682.99,3,172.16.67.182,10.0.0.100,17,4,1860.22,310580.44,167.0,5.87,0,278,1
739.73,2,192.168.169.230,10.0.0.100,6,4,1150.63,110281.58,95.8,3.03,0,3,1
494.13,2,10.0.0.1,10.0.0.100,6,2,58.67,4859.29,82.8,16.0,1,2,0
512.52,2,10.0.0.2,10.0.0.100,17,2,51.8,9880.84,190.7,9.17,1,3,0
701.03,3,172.16.107.196,10.0.0.100,17,4,262.59,98707.0,375.9,2.07,0,2,1
718.92,1,172.16.130.35,10.0.0.100,17,5,2226.97,492255.12,221.0,3.92,0,2,1
724.03,1,192.168.178.198,10.0.0.100,6,5,253.09,27321.51,108.0,2.7,0,474,1
741.48,2,192.168.16.234,10.0.0.100,6,5,1435.77,188315.76,131.2,2.27,0,305,1
