time,switch_id,src_ip,dst_ip,proto,src_port,dst_port,in_port,pkt_rate,byte_rate,avg_pkt_size,duration,pair_flow,port_src_count,label
8.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,3,738,246,3.45822,0,1,0
8.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,25,13650,546,4.91,1,1,0
8.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,17,9282,546,4.56913,1,1,0
8.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,19,10374,546,4.79399,1,1,0
8.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,26,14196,546,4.90983,1,1,0
9.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,4,984,246,4.46716,0,2,0
9.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,18,9828,546,5.56939,1,2,0
9.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,1,246,246,4.42612,0,2,0
9.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,25,13650,546,5.79424,1,2,0
9.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,27,14742,546,5.91,1,1,0
9.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,18,9828,546,5.56913,1,1,0
9.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,25,13650,546,5.79399,1,1,0
9.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,27,14742,546,5.90983,1,1,0
10,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,6,1476,246,5.46716,0,2,0
10,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,18,9828,546,6.56939,1,2,0
10,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,5,1230,246,5.42612,0,2,0
10,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,17,9282,546,6.79424,1,2,0
10,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,2,492,246,5.45822,0,1,0
10,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,16,8736,546,6.91,1,1,0
10,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,18,9828,546,6.56913,1,1,0
10,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,17,9282,546,6.79399,1,1,0
10,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,16,8736,546,6.90983,1,1,0
11,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,1,246,246,6.46716,0,2,0
11,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,20,10920,546,7.56939,1,2,0
11,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,6,1476,246,6.42612,0,2,0
11,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,21,11466,546,7.79424,1,2,0
11,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,3,738,246,6.45822,0,1,0
11,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,18,9828,546,7.91,1,1,0
11,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,20,10920,546,7.56913,1,1,0
11,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,21,11466,546,7.79399,1,1,0
11,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,18,9828,546,7.90983,1,1,0
12,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,5,1230,246,7.46716,0,2,0
12,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,17,9282,546,8.56939,1,2,0
12,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,1,246,246,7.42612,0,2,0
12,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,22,12012,546,8.79424,1,2,0
12,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,3,738,246,7.45822,0,1,0
12,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,20,10920,546,8.91,1,1,0
12,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,17,9282,546,8.56913,1,1,0
12,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,22,12012,546,8.79399,1,1,0
12,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,19,10374,546,8.90983,1,1,0
13,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,2,492,246,8.46716,0,2,0
13,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,18,9828,546,9.56939,1,2,0
13,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,3,738,246,8.42612,0,2,0
13,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,22,12012,546,9.79424,1,2,0
13,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,3,738,246,8.45822,0,1,0
13,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,20,10920,546,9.91,1,1,0
13,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,18,9828,546,9.56913,1,1,0
13,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,22,12012,546,9.79399,1,1,0
13,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,21,11466,546,9.90983,1,1,0
14,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,1,246,246,9.46716,0,2,0
14,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,18,9828,546,10.5694,1,2,0
14,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,1,246,246,9.42612,0,2,0
14,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,23,12558,546,10.7942,1,2,0
14,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,4,984,246,9.45822,0,1,0
14,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,16,8736,546,10.91,1,1,0
14,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,18,9828,546,10.5691,1,1,0
14,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,23,12558,546,10.794,1,1,0
14,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,16,8736,546,10.9098,1,1,0
15,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,1,246,246,10.4672,0,2,0
15,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,25,13650,546,11.5694,1,2,0
15,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,1,246,246,10.4261,0,2,0
15,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,20,10920,546,11.7942,1,2,0
15,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,2,492,246,10.4582,0,1,0
15,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,20,10920,546,11.91,1,1,0
15,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,25,13650,546,11.5691,1,1,0
15,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,20,10920,546,11.794,1,1,0
15,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,20,10920,546,11.9098,1,1,0
16,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,1,246,246,11.4672,0,2,0
16,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,25,13650,546,12.5694,1,2,0
16,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,2,492,246,11.4261,0,2,0
16,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,24,13104,546,12.7942,1,2,0
16,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,4,984,246,11.4582,0,1,0
16,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,18,9828,546,12.91,1,1,0
16,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,25,13650,546,12.5691,1,1,0
16,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,24,13104,546,12.794,1,1,0
16,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,17,9282,546,12.9098,1,1,0
17,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,2,492,246,12.4672,0,2,0
17,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,14,7644,546,13.5694,1,2,0
17,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,1,246,246,12.4261,0,2,0
17,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,26,14196,546,13.7942,1,2,0
17,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,3,738,246,12.4582,0,1,0
17,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,23,12558,546,13.91,1,1,0
17,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,14,7644,546,13.5691,1,1,0
17,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,26,14196,546,13.794,1,1,0
17,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,24,13104,546,13.9098,1,1,0
18,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,3,738,246,13.4672,0,2,0
18,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,15,8190,546,14.5694,1,2,0
18,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,16,8736,546,14.7942,1,2,0
18,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,3,738,246,13.4582,0,1,0
18,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,14,7644,546,14.91,1,1,0
18,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,15,8190,546,14.5691,1,1,0
18,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,16,8736,546,14.794,1,1,0
18,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,14,7644,546,14.9098,1,1,0
19,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,1,246,246,14.4672,0,2,0
19,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,30,16380,546,15.5694,1,2,0
19,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,2,492,246,14.4261,0,2,0
19,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,20,10920,546,15.7942,1,2,0
19,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,2,492,246,14.4582,0,1,0
19,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,23,12558,546,15.91,1,1,0
19,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,30,16380,546,15.5691,1,1,0
19,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,20,10920,546,15.794,1,1,0
19,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,23,12558,546,15.9098,1,1,0
20,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,2,492,246,15.4672,0,2,0
20,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,15,8190,546,16.5694,1,2,0
20,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,3,738,246,15.4261,0,2,0
20,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,16,8736,546,16.7942,1,2,0
20,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,3,738,246,15.4582,0,1,0
20,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,25,13650,546,16.91,1,1,0
20,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,15,8190,546,16.5691,1,1,0
20,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,16,8736,546,16.794,1,1,0
20,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,25,13650,546,16.9098,1,1,0
21,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,1,246,246,16.4672,0,4,0
21,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,19,10374,546,17.5694,1,4,0
21,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,3,738,246,16.4261,0,4,0
21,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,22,12012,546,17.7942,1,4,0
21,0A-AA-00-00-00-02,192.168.1.3,192.168.1.8,17,1025,5000,0,49,14156,288.898,0.804551,0,4,1
21,0A-AA-00-00-00-02,192.168.1.4,192.168.1.8,17,1025,5000,0,22,5144,233.818,0.628451,0,4,1
21,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,1,246,246,16.4582,0,1,0
21,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,21,11466,546,17.91,1,1,0
21,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,19,10374,546,17.5691,1,1,0
21,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,22,12012,546,17.794,1,1,0
21,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,21,11466,546,17.9098,1,1,0
22,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,5,1230,246,17.4672,0,4,0
22,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,14,7644,546,18.5694,1,4,0
22,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,1,246,246,17.4261,0,4,0
22,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,11,6006,546,18.7942,1,4,0
22,0A-AA-00-00-00-02,192.168.1.3,192.168.1.8,17,1025,5000,0,47,12771,271.723,1.80455,0,4,1
22,0A-AA-00-00-00-02,192.168.1.4,192.168.1.8,17,1025,5000,0,41,12424,303.024,1.62845,0,4,1
22,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,8,1968,246,17.4582,0,1,0
22,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,23,12558,546,18.91,1,1,0
22,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,14,7644,546,18.5691,1,1,0
22,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,11,6006,546,18.794,1,1,0
22,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,23,12558,546,18.9098,1,1,0
23,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,3,738,246,18.4672,0,4,0
23,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,22,12012,546,19.5694,1,4,0
23,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,3,738,246,18.4261,0,4,0
23,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,13,7098,546,19.7942,1,4,0
23,0A-AA-00-00-00-02,192.168.1.3,192.168.1.8,17,1025,5000,0,46,12339,268.239,2.80455,0,4,1
23,0A-AA-00-00-00-02,192.168.1.4,192.168.1.8,17,1025,5000,0,55,14543,264.418,2.62845,0,4,1
23,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,1,246,246,18.4582,0,1,0
23,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,19,10374,546,19.91,1,1,0
23,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,22,12012,546,19.5691,1,1,0
23,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,13,7098,546,19.794,1,1,0
23,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,19,10374,546,19.9098,1,1,0
24,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,5,1230,246,19.4672,0,4,0
24,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,22,12012,546,20.5694,1,4,0
24,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,2,492,246,19.4261,0,4,0
24,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,13,7098,546,20.7942,1,4,0
24,0A-AA-00-00-00-02,192.168.1.3,192.168.1.8,17,1025,5000,0,48,13997,291.604,3.80455,0,4,1
24,0A-AA-00-00-00-02,192.168.1.4,192.168.1.8,17,1025,5000,0,54,15343,284.13,3.62845,0,4,1
24,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,5,1230,246,19.4582,0,1,0
24,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,28,15288,546,20.91,1,1,0
24,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,22,12012,546,20.5691,1,1,0
24,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,13,7098,546,20.794,1,1,0
24,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,28,15288,546,20.9098,1,1,0
25,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,2,492,246,20.4672,0,4,0
25,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,20,10920,546,21.5694,1,4,0
25,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,4,984,246,20.4261,0,4,0
25,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,22,12012,546,21.7942,1,4,0
25,0A-AA-00-00-00-02,192.168.1.3,192.168.1.8,17,1025,5000,0,45,12071,268.244,4.80455,0,4,1
25,0A-AA-00-00-00-02,192.168.1.4,192.168.1.8,17,1025,5000,0,42,12096,288,4.62845,0,4,1
25,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,17,9282,546,21.91,1,1,0
25,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,20,10920,546,21.5691,1,1,0
25,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,22,12012,546,21.794,1,1,0
25,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,17,9282,546,21.9098,1,1,0
26,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,3,738,246,21.4672,0,4,0
26,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,17,9282,546,22.5694,1,4,0
26,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,2,492,246,21.4261,0,4,0
26,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,21,11466,546,22.7942,1,4,0
26,0A-AA-00-00-00-02,192.168.1.3,192.168.1.8,17,1025,5000,0,35,9717,277.629,5.80455,0,4,1
26,0A-AA-00-00-00-02,192.168.1.4,192.168.1.8,17,1025,5000,0,52,15360,295.385,5.62845,0,4,1
26,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,4,984,246,21.4582,0,1,0
26,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,23,12558,546,22.91,1,1,0
26,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,17,9282,546,22.5691,1,1,0
26,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,21,11466,546,22.794,1,1,0
26,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,23,12558,546,22.9098,1,1,0
27,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,3,738,246,22.4672,0,4,0
27,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,21,11466,546,23.5694,1,4,0
27,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,7,1722,246,22.4261,0,4,0
27,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,16,8736,546,23.7942,1,4,0
27,0A-AA-00-00-00-02,192.168.1.3,192.168.1.8,17,1025,5000,0,43,11995,278.953,6.80455,0,4,1
27,0A-AA-00-00-00-02,192.168.1.4,192.168.1.8,17,1025,5000,0,54,14998,277.741,6.62845,0,4,1
27,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,2,492,246,22.4582,0,1,0
27,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,22,12012,546,23.91,1,1,0
27,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,21,11466,546,23.5691,1,1,0
27,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,16,8736,546,23.794,1,1,0
27,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,22,12012,546,23.9098,1,1,0
28,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,4,984,246,23.4672,0,4,0
28,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,22,12012,546,24.5694,1,4,0
28,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,4,984,246,23.4261,0,4,0
28,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,23,12558,546,24.7942,1,4,0
28,0A-AA-00-00-00-02,192.168.1.3,192.168.1.8,17,1025,5000,0,42,12466,296.81,7.80455,0,4,1
